image_name,method,processing_time_seconds,primary_category,sub_category,main_color,secondary_colors,pattern,sleeve_length,neckline,fit,material_guess,suitable_seasons,style_tags,occasion_tags,raw_json_output
cottonT008.jpg,ollama_chain,61.92,N/A,N/A,N/A,N/A,striped,short,crew,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""t-shirt"", ""color"": ""white"", ""pattern"": ""striped"", ""stripe_location"": ""chest"", ""stripe_color"": ""blue"", ""sleeve_length"": ""short"", ""neckline"": ""crew"", ""fabric"": ""cotton blend"", ""style"": ""casual"", ""graphics"": ""none"", ""views"": [""front"", ""back""]}"
cottonT008.jpg,gemini_api,12.13,上衣,T恤,白色,藍色,條紋,短袖,圓領,寬鬆,棉質,"春季, 夏季, 秋季","日常休閒, 簡約, 復古","約會, 旅行度假, 居家","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""T恤"",
  ""main_color"": ""白色"",
  ""secondary_colors"": [""藍色""],
  ""pattern"": ""條紋"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""圓領"",
  ""fit"": ""寬鬆"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""簡約"", ""復古""],
  ""occasion_tags"": [""約會"", ""旅行度假"", ""居家""]
}"
pants004.jpg,ollama_chain,61.41,N/A,N/A,N/A,N/A,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""trousers"", ""color"": ""gray"", ""style"": ""straight cut"", ""fabric"": [""cotton"", ""cotton blend""], ""features"": [""flat front waistband"", ""pockets""], ""pattern"": ""none"", ""suitable_for"": [""casual occasions""]}"
pants004.jpg,gemini_api,14.77,下著,西裝褲,灰色,,素色,不適用,不適用,常規,聚酯纖維,"春季, 秋季","日常休閒, 商務休閒, 簡約","上班通勤, 約會, 旅行度假","{
  ""primary_category"": ""下著"",
  ""sub_category"": ""西裝褲"",
  ""main_color"": ""灰色"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""聚酯纖維"",
  ""suitable_seasons"": [""春季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""商務休閒"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假""]
}"
shirt004.jpg,ollama_chain,74.16,N/A,N/A,N/A,"white, red",plaid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{
  ""product_type"": ""shirt"",
  ""category"": ""top"",
  ""style"": ""casual"",
  ""color"": ""navy blue"",
  ""pattern"": ""plaid"",
  ""secondary_colors"": [""white"", ""red""],
  ""sleeves"": ""long sleeve"",
  ""closure_type"": ""button-up"",
  ""collar_type"": ""collared"",
  ""details"": {
    ""pockets"": false,
    ""embellishments"": false
  },
  ""fabric"": ""cotton blend (possible)""
}"
shirt004.jpg,gemini_api,20.25,上衣,襯衫,深藍色,"白色, 紅色",格紋,長袖,Polo領,常規,棉質,"春季, 秋季","日常休閒, 商務休閒, 簡約","上班通勤, 約會, 旅行度假, 居家","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""襯衫"",
  ""main_color"": ""深藍色"",
  ""secondary_colors"": [""白色"", ""紅色""],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""長袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""商務休閒"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假"", ""居家""]
}"
shirt002.jpg,ollama_chain,53.27,N/A,shirt,N/A,N/A,plaid,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{""category"": ""top"", ""sub_category"": ""shirt"", ""color"": ""red"", ""pattern"": ""plaid"", ""style"": ""casual"", ""accents"": [""white"", ""blue""], ""features"": []}"
shirt002.jpg,gemini_api,18.29,上衣,襯衫,紅色,"藍色, 白色",格紋,短袖,Polo領,常規,棉質,"春季, 夏季, 秋季","日常休閒, 簡約","上班通勤, 約會, 旅行度假","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""襯衫"",
  ""main_color"": ""紅色"",
  ""secondary_colors"": [
    ""藍色"",
    ""白色""
  ],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [
    ""春季"",
    ""夏季"",
    ""秋季""
  ],
  ""style_tags"": [
    ""日常休閒"",
    ""簡約""
  ],
  ""occasion_tags"": [
    ""上班通勤"",
    ""約會"",
    ""旅行度假""
  ]
}"
pants006.jpg,ollama_chain,92.14,N/A,N/A,N/A,N/A,none,N/A,N/A,straight,N/A,N/A,N/A,N/A,"{
  ""product_type"": ""trousers"",
  ""color"": [""light gray"", ""beige""],
  ""pattern"": ""none"",
  ""style"": ""classic"",
  ""fit"": ""straight"",
  ""waistband"": ""drawstring"",
  ""fabric"": [""cotton"", ""linen""],
  ""details"": [
    ""two side pockets"",
    ""slight taper at ankles"",
    ""heathered effect""
  ],
  ""description"": ""Simple and functional trousers with a focus on comfort and versatility."",
  ""suitable_for"": [""various occasions"", ""various settings""]
}"
pants006.jpg,gemini_api,13.41,下著,西裝褲,灰色,白色,格紋,不適用,不適用,常規,聚酯纖維,"春季, 秋季","商務休閒, 日常休閒, 簡約, 復古","上班通勤, 約會, 旅行度假","{
  ""primary_category"": ""下著"",
  ""sub_category"": ""西裝褲"",
  ""main_color"": ""灰色"",
  ""secondary_colors"": [""白色""],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""聚酯纖維"",
  ""suitable_seasons"": [""春季"", ""秋季""],
  ""style_tags"": [""商務休閒"", ""日常休閒"", ""簡約"", ""復古""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假""]
}"
pants003.jpg,ollama_chain,58.43,N/A,N/A,N/A,N/A,none,N/A,N/A,adjustable,N/A,N/A,N/A,N/A,"{""product_type"": ""pants"", ""style"": ""cargo"", ""color"": ""khaki"", ""fabric"": null, ""pattern"": ""none"", ""features"": [""drawstring waistband"", ""multiple pockets""], ""fit"": ""adjustable"", ""intended_use"": ""casual""}"
pants003.jpg,gemini_api,17.31,下著,工裝褲,卡其色,黑色,素色,不適用,不適用,常規,尼龍,"春季, 秋季","日常休閒, 街頭潮流, 運動機能","戶外運動, 旅行度假, 居家","{
  ""primary_category"": ""下著"",
  ""sub_category"": ""工裝褲"",
  ""main_color"": ""卡其色"",
  ""secondary_colors"": [
    ""黑色""
  ],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""尼龍"",
  ""suitable_seasons"": [
    ""春季"",
    ""秋季""
  ],
  ""style_tags"": [
    ""日常休閒"",
    ""街頭潮流"",
    ""運動機能""
  ],
  ""occasion_tags"": [
    ""戶外運動"",
    ""旅行度假"",
    ""居家""
  ]
}"
POLO004.jpg,ollama_chain,72.43,N/A,N/A,N/A,dark gray,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""polo shirt"", ""sleeves"": ""short"", ""color"": ""gray"", ""secondary_colors"": [""dark gray""], ""pattern"": ""none"", ""closure_type"": ""two-button"", ""style"": ""casual"", ""details"": [""logo on left chest (mountain peak design)"", ""smooth fabric""], ""suitable_for"": [""formal"", ""informal""]}"
POLO004.jpg,gemini_api,18.59,上衣,Polo衫,灰色,深藍色,素色,短袖,Polo領,常規,棉質,"春季, 夏季, 秋季","日常休閒, 商務休閒, 簡約","上班通勤, 約會, 旅行度假, 戶外運動","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""Polo衫"",
  ""main_color"": ""灰色"",
  ""secondary_colors"": [""深藍色""],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""商務休閒"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假"", ""戶外運動""]
}"
cottonT004.jpg,ollama_chain,58.69,N/A,N/A,N/A,N/A,none,short,crew,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""t-shirt"", ""color"": ""black"", ""style"": ""plain"", ""sleeve_length"": ""short"", ""neckline"": ""crew"", ""fabric"": ""cotton"", ""pattern"": ""none"", ""embellishments"": ""none""}"
cottonT004.jpg,gemini_api,11.91,上衣,T恤,黑色,,素色,短袖,圓領,常規,棉質,"春季, 夏季, 秋季","日常休閒, 簡約, 街頭潮流","上班通勤, 約會, 旅行度假, 居家","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""T恤"",
  ""main_color"": ""黑色"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""圓領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""簡約"", ""街頭潮流""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假"", ""居家""]
}"
pants001.jpg,ollama_chain,63.73,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""pants"", ""color"": ""khaki"", ""style"": ""straight-cut"", ""fabric"": ""lightweight"", ""closure_type"": ""elastic waistband with drawstrings"", ""pockets"": [""two front pockets"", ""coin pocket (right)""], ""suitable_for"": [""casual wear"", ""business casual""]}"
pants001.jpg,gemini_api,15.54,下著,休閒褲,卡其色,,素色,不適用,不適用,常規,棉質,"春季, 秋季","日常休閒, 簡約","上班通勤, 旅行度假, 居家","{
  ""primary_category"": ""下著"",
  ""sub_category"": ""休閒褲"",
  ""main_color"": ""卡其色"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""旅行度假"", ""居家""]
}"
shirt001.jpg,ollama_chain,68.67,N/A,N/A,N/A,N/A,plaid,short-sleeved,collared,relaxed,N/A,N/A,N/A,N/A,"{""product_type"": ""shirt"", ""style"": ""button-up"", ""sleeve_length"": ""short-sleeved"", ""pattern"": ""plaid"", ""colors"": [""beige"", ""brown"", ""white""], ""neckline"": ""collared"", ""fit"": ""relaxed"", ""pockets"": ""none"", ""suitable_for"": [""casual"", ""semi-formal""], ""target_gender"": ""male"", ""design_inspiration"": ""traditional""}"
shirt001.jpg,gemini_api,11.42,上衣,襯衫,米色,"灰色, 棕色",格紋,短袖,Polo領,常規,棉質,"春季, 夏季, 秋季","日常休閒, 簡約, 復古","上班通勤, 約會, 旅行度假","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""襯衫"",
  ""main_color"": ""米色"",
  ""secondary_colors"": [""灰色"", ""棕色""],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""簡約"", ""復古""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假""]
}"
jeans001.jpg,ollama_chain,62.00,N/A,N/A,N/A,N/A,none,N/A,N/A,slim,N/A,N/A,N/A,N/A,"{""product_type"": ""jeans"", ""color"": ""blue"", ""material"": ""denim"", ""style"": ""straight-cut"", ""fit"": ""slim"", ""pocket_style"": ""five-pocket"", ""details"": [""coin pockets"", ""contrasting waistband""], ""pattern"": ""none"", ""additional_colors"": ""none"", ""image_background"": ""black""}"
jeans001.jpg,gemini_api,12.54,下著,牛仔褲,藍色,,素色,不適用,不適用,合身,丹寧,"春季, 夏季, 秋季, 冬季","日常休閒, 簡約, 街頭潮流","上班通勤, 約會, 旅行度假, 居家","{
  ""primary_category"": ""下著"",
  ""sub_category"": ""牛仔褲"",
  ""main_color"": ""藍色"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""合身"",
  ""material_guess"": ""丹寧"",
  ""suitable_seasons"": [""春季"", ""夏季"", ""秋季"", ""冬季""],
  ""style_tags"": [""日常休閒"", ""簡約"", ""街頭潮流""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""旅行度假"", ""居家""]
}"
POLO002.jpg,ollama_chain,61.24,N/A,N/A,N/A,N/A,stripes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"{""product_type"": ""polo shirt"", ""color"": ""white"", ""pattern"": ""stripes"", ""stripe_location"": [""sleeves"", ""collar""], ""secondary_color"": ""black"", ""features"": [""logo"", ""two-button placket""], ""logo_location"": ""left chest"", ""style"": ""casual"", ""suitable_for"": [""formal"", ""informal""]}"
POLO002.jpg,gemini_api,13.05,上衣,Polo衫,白色,"黑色, 藍色",素色,短袖,Polo領,常規,棉質,"春季, 夏季","日常休閒, 商務休閒, 運動機能, 簡約","上班通勤, 約會, 戶外運動, 旅行度假","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""Polo衫"",
  ""main_color"": ""白色"",
  ""secondary_colors"": [""黑色"", ""藍色""],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉質"",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒"", ""商務休閒"", ""運動機能"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""約會"", ""戶外運動"", ""旅行度假""]
}"
