image_name,model_name,primary_category,sub_category,main_color,secondary_colors,pattern,sleeve_length,neckline,fit,material_guess,suitable_seasons,style_tags,occasion_tags,raw_json_output
cottonT008.jpg,llama3.1:8b,上衣,,白色,藍色,條紋,短袖,圓領,常規,棉布或棉混纖維,夏季,"日常休閒, 簡約","上班通勤, 戶外運動","{
  ""primary_category"": ""上衣"",
  ""sub_category"": """",
  ""main_color"": ""白色"",
  ""secondary_colors"": [""藍色""],
  ""pattern"": ""條紋"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""圓領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉布或棉混纖維"",
  ""suitable_seasons"": [""夏季""],
  ""style_tags"": [""日常休閒"", ""簡約""],
  ""occasion_tags"": [""上班通勤"", ""戶外運動""]
}"
cottonT008.jpg,gemma3:12b,上衣,T恤,白色,藍色,條紋,短袖,圓領,常規,棉,"春季, 夏季, 秋季","日常休閒, 簡約","居家, 旅行度假","{""primary_category"": ""上衣"", ""sub_category"": ""T恤"", ""main_color"": ""白色"", ""secondary_colors"": [""藍色""], ""pattern"": ""條紋"", ""sleeve_length"": ""短袖"", ""neckline"": ""圓領"", ""fit"": ""常規"", ""material_guess"": ""棉"", ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""居家"", ""旅行度假""]}"
pants004.jpg,llama3.1:8b,下著,,灰色,,素色,不適用,不適用,常規,棉布或棉混紡,"春季, 夏季",日常休閒,上班通勤,"{
  ""primary_category"": ""下著"",
  ""sub_category"": """",
  ""main_color"": ""灰色"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉布或棉混紡"",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒""],
  ""occasion_tags"": [""上班通勤""]
}"
pants004.jpg,gemma3:12b,下著,長褲,灰色,,素色,不適用,不適用,常規,棉,"春季, 秋季, 夏季","日常休閒, 簡約","上班通勤, 居家","{""primary_category"": ""下著"", ""sub_category"": ""長褲"", ""main_color"": ""灰色"", ""secondary_colors"": [], ""pattern"": ""素色"", ""sleeve_length"": ""不適用"", ""neckline"": ""不適用"", ""fit"": ""常規"", ""material_guess"": ""棉"", ""suitable_seasons"": [""春季"", ""秋季"", ""夏季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""上班通勤"", ""居家""]}"
shirt004.jpg,llama3.1:8b,上衣,button-up shirt,navy blue,"white, red",格紋,長袖,圓領,常規,棉或棉混,"春季, 秋季","日常休閒, 商務休閒","上班通勤, 商務會議","{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""button-up shirt"",
  ""main_color"": ""navy blue"",
  ""secondary_colors"": [""white"", ""red""],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""長袖"",
  ""neckline"": ""圓領"",
  ""fit"": ""常規"",
  ""material_guess"": ""棉或棉混"",
  ""suitable_seasons"": [""春季"", ""秋季""],
  ""style_tags"": [""日常休閒"", ""商務休閒""],
  ""occasion_tags"": [""上班通勤"", ""商務會議""]
}"
shirt004.jpg,gemma3:12b,上衣,shirt,navy blue,"white, red",格紋,長袖,不適用,常規,cotton blend,"春季, 秋季","日常休閒, 簡約","上班通勤, 約會","{""primary_category"": ""上衣"", ""sub_category"": ""shirt"", ""main_color"": ""navy blue"", ""secondary_colors"": [""white"", ""red""], ""pattern"": ""格紋"", ""sleeve_length"": ""長袖"", ""neckline"": ""不適用"", ""fit"": ""常規"", ""material_guess"": ""cotton blend"", ""suitable_seasons"": [""春季"", ""秋季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""上班通勤"", ""約會""]}"
shirt002.jpg,llama3.1:8b,上衣,button-up shirt,red,"white, blue",格紋,不適用,不適用,常規,不適用,"春季, 夏季",日常休閒,上班通勤,"{
  ""primary_category"": ""上衣"",
  ""sub_category"": ""button-up shirt"",
  ""main_color"": ""red"",
  ""secondary_colors"": [""white"", ""blue""],
  ""pattern"": ""格紋"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""不適用"",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒""],
  ""occasion_tags"": [""上班通勤""]
}"
shirt002.jpg,gemma3:12b,上衣,不適用,red,"white, blue",格紋,不適用,不適用,常規,不適用,"春季, 秋季, 夏季","日常休閒, 簡約","上班通勤, 居家","{""primary_category"": ""上衣"", ""sub_category"": ""不適用"", ""main_color"": ""red"", ""secondary_colors"": [""white"", ""blue""], ""pattern"": ""格紋"", ""sleeve_length"": ""不適用"", ""neckline"": ""不適用"", ""fit"": ""常規"", ""material_guess"": ""不適用"", ""suitable_seasons"": [""春季"", ""秋季"", ""夏季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""上班通勤"", ""居家""]}"
pants006.jpg,llama3.1:8b,下著,,light gray or beige,"lighter shades, darker shades",素色,不適用,不適用,常規,woven material (cotton or linen),"春季, 夏季","日常休閒, 商務休閒","上班通勤, 戶外運動","{
  ""primary_category"": ""下著"",
  ""sub_category"": """",
  ""main_color"": ""light gray or beige"",
  ""secondary_colors"": [""lighter shades"", ""darker shades""],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": ""woven material (cotton or linen)"",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒"", ""商務休閒""],
  ""occasion_tags"": [""上班通勤"", ""戶外運動""]
}"
pants006.jpg,gemma3:12b,下著,長褲,淺灰色,米色,素色,不適用,不適用,常規,棉或亞麻,"春季, 夏季, 秋季","日常休閒, 簡約","上班通勤, 旅行度假, 居家","{""primary_category"": ""下著"", ""sub_category"": ""長褲"", ""main_color"": ""淺灰色"", ""secondary_colors"": [""米色""], ""pattern"": ""素色"", ""sleeve_length"": ""不適用"", ""neckline"": ""不適用"", ""fit"": ""常規"", ""material_guess"": ""棉或亞麻"", ""suitable_seasons"": [""春季"", ""夏季"", ""秋季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""上班通勤"", ""旅行度假"", ""居家""]}"
pants003.jpg,llama3.1:8b,下著,,light tan or beige,,素色,不適用,不適用,常規,,"春季, 夏季",日常休閒,戶外運動,"{
  ""primary_category"": ""下著"",
  ""sub_category"": """",
  ""main_color"": ""light tan or beige"",
  ""secondary_colors"": [],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""不適用"",
  ""neckline"": ""不適用"",
  ""fit"": ""常規"",
  ""material_guess"": """",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒""],
  ""occasion_tags"": [""戶外運動""]
}"
pants003.jpg,gemma3:12b,下著,長褲,米色,,素色,不適用,不適用,常規,不適用,"春季, 秋季, 夏季","日常休閒, 簡約","戶外運動, 旅行度假","{""primary_category"": ""下著"", ""sub_category"": ""長褲"", ""main_color"": ""米色"", ""secondary_colors"": [], ""pattern"": ""素色"", ""sleeve_length"": ""不適用"", ""neckline"": ""不適用"", ""fit"": ""常規"", ""material_guess"": ""不適用"", ""suitable_seasons"": [""春季"", ""秋季"", ""夏季""], ""style_tags"": [""日常休閒"", ""簡約""], ""occasion_tags"": [""戶外運動"", ""旅行度假""]}"
POLO004.jpg,llama3.1:8b,,,灰色,深灰色,素色,短袖,Polo領,常規,,"春季, 夏季","日常休閒, 商務休閒","上班通勤, 戶外運動","{
  ""primary_category"": """",
  ""sub_category"": """",
  ""main_color"": ""灰色"",
  ""secondary_colors"": [""深灰色""],
  ""pattern"": ""素色"",
  ""sleeve_length"": ""短袖"",
  ""neckline"": ""Polo領"",
  ""fit"": ""常規"",
  ""material_guess"": """",
  ""suitable_seasons"": [""春季"", ""夏季""],
  ""style_tags"": [""日常休閒"", ""商務休閒""],
  ""occasion_tags"": [""上班通勤"", ""戶外運動""]
}"
